id;name;type;address;phone_number;email;contact_person
1;Assistant;PRIVATE_INSTITUTION;Compatible pixel;Ergonomic Soft Computer wireless;Camille74@yahoo.com;Refined Wooden Soap Somoni
2;Utah SQL;PRIVATE_INSTITUTION;SMTP orange;Sudanese Pound encompassing;Benjamin96@gmail.com;solution synergistic Liaison
3;Customizable;PRIVATE_PERSON;visualize;grow;Ewald_Johns17@hotmail.com;withdrawal Missouri Wyoming
4;Metal Cambridgeshire;PRIVATE_INSTITUTION;back-end card Home Loan Account;bricks-and-clicks;Quentin.Kling@yahoo.com;Health standardization Tasty
5;Handmade Soft Mouse Cambridgeshire;PRIVATE_PERSON;Guyana Dollar copy Analyst;Principal;Mafalda.Stamm27@yahoo.com;SDR sky blue Accounts
6;Executive Alaska Arizona;PRIVATE_PERSON;Small;mint green;Winnifred_Reichel@hotmail.com;Shoes Pula Russian Ruble
7;Human Avon Wyoming;PRIVATE_INSTITUTION;Functionality;parallelism Mews Solutions;Tony_Sporer@yahoo.com;Internal invoice
8;hacking;PUBLIC_INSTITUTION;systematic;dot-com mobile parse;Alexandre_Prohaska60@yahoo.com;Hills 1080p Democratic People's Republic of Korea
9;Ergonomic Steel Ball open architecture;PUBLIC_INSTITUTION;solid state hacking solid state;functionalities Kansas instruction set;Urban.Osinski3@yahoo.com;connect Pre-emptive black
10;black Ergonomic;PRIVATE_INSTITUTION;tangible Savings Account;Industrial Sweden Awesome Steel Cheese;Don_Nikolaus@yahoo.com;Soft Consultant
