id;name;short_description;goal;documentation_1;documentation_1_content_type;documentation_2;documentation_2_content_type;documentation_3;documentation_3_content_type;documentation_4;documentation_4_content_type;documentation_5;documentation_5_content_type;initiator_id
1;SDR;../fake-data/blob/hipster.txt;Unbranded;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
2;Auto Loan Account;../fake-data/blob/hipster.txt;panel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
3;PCI transform Square;../fake-data/blob/hipster.txt;Frozen Wisconsin impactful;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
4;withdrawal Sleek Granite Bike;../fake-data/blob/hipster.txt;Stand-alone National;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
5;interfaces Steel Intelligent Fresh Gloves;../fake-data/blob/hipster.txt;Credit Card Account system;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
6;open system Colombian Peso Unidad de Valor Real Digitized;../fake-data/blob/hipster.txt;Health multi-byte Rubber;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
7;Croatia Tasty Ergonomic Concrete Bacon;../fake-data/blob/hipster.txt;Ergonomic Junction Hong Kong;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
8;responsive input grey;../fake-data/blob/hipster.txt;COM;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
9;Producer zero defect Personal Loan Account;../fake-data/blob/hipster.txt;Philippines synthesize Handcrafted Granite Computer;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
10;Incredible;../fake-data/blob/hipster.txt;optimize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
